,,,,,,,,,,,,,,,,,,,,,
Bottom(OHS),564.00,319.40,564.00,319.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,12,WM-600X320X600-11,106,220236,r33b0106,,PO-0587,JK-80
Adjustable Shelf,563.00,281.40,563.00,281.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,12,WM-600X320X600-11,107,220236,,,PO-0587,JK-81
Door Slab,595.00,595.00,595.00,595.00,1,0,16MM BWR 10197SF+22291SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,KITCHEN,1,12,WM-600X320X600-11,108,220236,r33b0108,,PO-0587,JK-82
Finished Left End(Outer),597.00,317.00,597.00,317.00,1,0,16MM BWR 10197SF+22291SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,KITCHEN,1,13,WM-600X320X600-12,109,220236,r33b0109,,PO-0587,JK-83
Finished Right End(Outer),597.00,317.00,597.00,317.00,1,0,16MM BWR 10197SF+22291SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,KITCHEN,1,13,WM-600X320X600-12,110,220236,r33b0110,,PO-0587,JK-84
Unfinished Back(Back),576.80,576.40,576.80,576.40,1,0,6MM BWR 22291+22291,,,,,KITCHEN,1,13,WM-600X320X600-12,111,220236,,,PO-0587,JK-85
Top,563.80,319.40,563.80,319.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,13,WM-600X320X600-12,112,220236,r33b0112,r33f0112,PO-0587,JK-86
Bottom(OHS),563.80,319.40,563.80,319.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,13,WM-600X320X600-12,113,220236,r33b0113,,PO-0587,JK-87
Top,197.00,697.00,197.00,697.00,1,0,16MM BWR 10197SF+22291SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,KITCHEN,1,13,WM-600X320X600-12,114,220236,,,PO-0587,JK-88
Adjustable Shelf,562.80,281.40,562.80,281.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,13,WM-600X320X600-12,115,220236,,,PO-0587,JK-89
Door Slab,595.00,595.00,595.00,595.00,1,0,16MM BWR 10197SF+22291SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,KITCHEN,1,13,WM-600X320X600-12,116,220236,r33b0116,,PO-0587,JK-90
Unfinished Left End(inner),819.40,559.40,819.40,559.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,14,SINK-800X560X820-9,117,220236,r33b0117,,PO-0587,JK-91
Finished Right End(Outer),817.00,557.00,817.00,557.00,1,0,16MM BWR 10197SF+22291SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,KITCHEN,1,14,SINK-800X560X820-9,118,220236,r33b0118,,PO-0587,JK-92
Top Stretcher(member),764.00,99.40,764.00,99.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,14,SINK-800X560X820-9,119,220236,,r33f0119,PO-0587,JK-93
Door Slab,715.00,395.00,715.00,395.00,1,0,16MM BWR 10197SF+22291SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,KITCHEN,1,14,SINK-800X560X820-9,121,220236,r33b0121,,PO-0587,JK-94
Finished Left End(Outer),947.00,577.00,947.00,577.00,1,0,16MM BWR 10197SF+10197SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,KITCHEN,1,15,DWIS-686X580X950-13,123,220236,r33b0123,,PO-0587,JK-95
Finished Right End(Outer),947.00,577.00,947.00,577.00,1,0,16MM BWR 10197SF+10197SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,KITCHEN,1,15,DWIS-686X580X950-13,124,220236,r33b0124,,PO-0587,JK-96
Top Stretcher(member),647.00,97.00,647.00,97.00,1,0,16MM BWR 10197SF+10197SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,KITCHEN,1,15,DWIS-686X580X950-13,125,220236,,r33f0125,PO-0587,JK-97
Top,828.00,97.00,828.00,97.00,1,0,16MM BWR 10197SF+22291SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,KITCHEN,1,15,DWIS-686X580X950-13,127,220236,r33b0127,,PO-0587,JK-98
SIDE DUMMY,717.00,97.00,717.00,97.00,3,0,16MM BWR 10197SF+22291SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,KITCHEN,1,16,SIDE DUMMY-14,130,220236,,,PO-0587,JK-99
SIDE DUMMY,1182.00,577.00,1182.00,577.00,3,0,16MM BWR 10197SF+22291SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,KITCHEN,1,17,POOJA BACK PANEL-15,131,220236,,,PO-0587,JK-100
SIDE DUMMY,597.00,97.00,597.00,97.00,3,0,16MM BWR 10197SF+22291SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,KITCHEN,1,18,SIDE DUMMY-14,132,220236,,,PO-0587,JK-101
SKIRTING-,2397.00,97.00,2397.00,97.00,5,0,16MM BWR 10197SF+22291SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,KITCHEN,1,19,SKIRTING-,133,220236,,,PO-0587,JK-102
SKIRTING,557.00,97.00,557.00,97.00,1,0,16MM BWR 10197SF+22291SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,KITCHEN,1,20,SKIRTING-,134,220236,,,PO-0587,JK-103
SIDE DUMMY,697.00,317.00,697.00,317.00,3,0,16MM BWR 10197SF+22291SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,KITCHEN,1,21,BH PANEL,135,220236,,,PO-0587,JK-104
